name,state,Full Address,lat,lng,phone,email,providesPrep,providesPep,freeSTIscreening
Klinik Kesihatan Cheras (MyPrEPGov2023),W.P. Kuala Lumpur,"No 14, Jalan Yaacob Latiff, Bandar Tun Razak  56000 Cheras W.P. Kuala Lumpur",3.10667,101.726556,+603-9133 3322,kkcheras@moh.gov.my,TRUE,FALSE,TRUE
Thomson Hospital Kota Damansara (Infectious Disease),Selangor,"11, Jalan Teknologi, PJU 5, Kota Damansara  47810 Petaling Jaya Selangor",3.149023,101.5788,+603-6287 1111,limsim7@yahoo.com,TRUE,TRUE,FALSE
ALPRO Pharmacy PJ Seksyen 17 (Under My PrEP Pharmacy research),Selangor,"1088, Jalan 17/29, Seksyen 17  46400 Petaling Jaya Selangor",3.129319,101.635357,+6019-470 1923,bpj171@alpropharmacy.com,TRUE,FALSE,FALSE
Family Clinic Seventeen,Selangor,"923A, Jalan 17/38  46400 Petaling Jaya Selangor",3.128252,101.636116,+603-7498 0797,familyclinicpj17@gmail.com,TRUE,TRUE,FALSE
Klinik SRI,W.P. Kuala Lumpur,"B1-7 Plaza Dwi Tasik Jalan Sri Permaisuri, Bandar Sri Permaisuri 56000 Cheras W.P. Kuala Lumpur",3.102995,101.714217,+6011-1422 0903,drsri@kliniksri.com.my,TRUE,FALSE,FALSE
A Plus Medical Clinic,Selangor,"69, Jalan SS 22/11, Damansara Jaya Petaling Jaya 47400 Selangor Selangor",3.129048,101.620993,+6016-931 1128,aone.medclinic@gmail.com,TRUE,TRUE,FALSE
ALPRO Pharmacy Bandar Sri Permaisuri (Under My PrEP Pharmacy research),W.P. Kuala Lumpur,"6, Jalan Sri Permaisuri 9 Bandar Sri Permaisuri 56000 Kuala Lumpur W.P. Kuala Lumpur",3.101844,101.707153,+6019-203 1923,wcrsp1@alpropharmacy.com,TRUE,FALSE,FALSE
University Malaya Specialist Centre (UMSC),W.P. Kuala Lumpur,"Lot 28, Lorong Universiti Lembah Pantai 50603 Kuala Lumpur W.P. Kuala Lumpur",3.11678,101.650883,+603-7841 4000,iskandarshah@ummc.edu.my,TRUE,TRUE,FALSE
University Malaya Medical Centre (Infectious Disease),W.P. Kuala Lumpur,"Klinik Perubatan 3, Ground Floor, Menara Utama University Malaya Medical Centre, Jalan Universiti, Lembah Pantai 50603 Kuala Lumpur ",3.113706,101.652919,+603-7949 3641,ummc.prep@gmail.com,TRUE,TRUE,FALSE
The Red Clinic,Selangor,"23-PI, Block B, Jaya One 72A Jalan Universiti, Pjs 13 46200 Petaling Jaya Selangor",3.118486,101.636078,+6010-873 0175,,TRUE,TRUE,FALSE
Klinik Bangsar South,W.P. Kuala Lumpur,"Klinik Bangsar South, 1-8 ground floor Centrio Pantai HillPark, Jalan Pantai Murni, Bangsar South 59200 kuala lumpur W.P. Kuala Lumpur",3.10811,101.665784,+6012-650 2915,parveenns@gmail.com,TRUE,TRUE,FALSE
KLINIK MEDIC 360 24JAM,W.P. Kuala Lumpur,"179 (Ground Floor) Jalan Sarjana, Taman Connaught, 56000 Cheras W.P. Kuala Lumpur",3.082437,101.735277,+6018 5783 360,km360connaught@gmail.com,TRUE,TRUE,FALSE
Klinik Loh,Selangor,96-1 Jalan PJU 1/3B Sunwaymas Commercial Centre 47301 Petaling Jaya Selangor,3.118626,101.598961,+603-7806 2288,klinikloh@doctor.com,TRUE,TRUE,FALSE
Klinik Renewed Medic,Selangor,"Lot G-G-13, Cantara Residences, 6, Jalan PJU 1A/42B, Ara Damansara, 47301 Petaling Jaya Selangor",3.117839,101.590654,+6018 3885 796,admin@essentialhealthcaremy.com,TRUE,TRUE,FALSE
Klinik Tecna,Selangor,"Suite G05 Wisma Tecna, 18 Jalan 51A/223, Seksyen 51A 46100 Petaling Jaya Selangor",3.101881,101.635792,+6011-2660 3223,tecnamedical@gmail.com,TRUE,TRUE,FALSE
Elegant Clinic Sdn Bhd,W.P. Kuala Lumpur,"A-G-5, Kuchai Exchange No.43, Jalan Kuchai Maju 13  58200 Kuala Lumpur W.P. Kuala Lumpur",3.085757,101.692893,+6012-316 6889,elegantklinik@gmail.com,TRUE,TRUE,FALSE
Poliklinik My Clinic Ara Damansara,Selangor,"H-BG-09, Block Harmoni, D'aman Crimson Commercial Centre, Jalan PJU 1A/41, Ara Damansara 47301 Petaling Jaya Selangor",3.115833,101.591252,+603-7624 5450,myclinic.staff@gmail.com,TRUE,TRUE,FALSE
U.n.i Klinik Alam Damai,W.P. Kuala Lumpur,No. 43 Jalan Damai Niaga 1 Alam Damai 56000 Cheras W.P. Kuala Lumpur,3.074259,101.737869,+6011-5136 3041,abdulroniyaakub@rocketmail.com,TRUE,TRUE,FALSE
Klinik Kesihatan Kelana Jaya,Selangor,"Lot 38294 Jalan SS6/3A, Ss 6 47301 Petaling Jaya Selangor",3.099514,101.600463,+603-7804 5001,,TRUE,FALSE,TRUE
Klinik Medilove Bandar Mahkota Cheras,Selangor,"65 Ground Floor, Jalan Temenggung 3/9, Bandar Mahkota Cheras  43200 Cheras Selangor",3.051252,101.790285,+6011-5657 0478,medilovebmc@gmail.com,TRUE,TRUE,FALSE
ALPRO Pharmacy Trillium Sungai Besi (Under My PrEP Pharmacy research),W.P. Kuala Lumpur,"31-G, Jalan Tasik Utama 6, Medan Niaga Tasik Damai Sungai Besi 57000 Kuala Lumpur W.P. Kuala Lumpur",3.06228,101.70961,+6019-446 1923,wsbtr1@alpropharmacy.com,TRUE,FALSE,FALSE
Klinik Dr Leela Ratos Dan Rakan-Rakan &#8211; Sungai Way,Selangor,"First Floor, 626-A, Jalan SS 9A/1, Sungai Way  47300 Petaling Jaya Selangor",3.085386,101.620639,+6012-732 3739,sungaiwaylrr@gmail.com,TRUE,TRUE,FALSE
Mediklinik Nusa,Selangor,"No 42A, 00, Jalan Damai Perdana 6/1A Bandar Damai Perdana 56000 Cheras Selangor",3.052737,101.738197,+6011-1337 2317,nusacare22@gmail.com,TRUE,TRUE,FALSE
MYGP Clinic (Damai Perdana),Selangor,"No 5-GF, Jalan Damai Perdana 1/8b, Bandar Damai Perdana, 43200 Cheras Selangor",3.047308,101.740337,,mygpclinic2u@gmail.com,TRUE,TRUE,FALSE
MYGP Clinic Bukit Jalil,W.P. Kuala Lumpur,"18-G, BLOK 2, Jalan Jalil Jaya 2 Jalil Link 57000 Bukit Jalil W.P. Kuala Lumpur",3.058234,101.673785,,mygpbukitjalil@gmail.com,TRUE,TRUE,FALSE
U.N.I Klinik Setia Alam,Selangor,"No 38-G,Jalan Setia Gemilang BM U13/BM Precint 15,Setia Alam 40170 Shah Alam Selangor",3.127886,101.467887,+03-3359 0588,unikliniksetia.alam@gmail.com,TRUE,TRUE,FALSE
Klinik Central SS15,Selangor,"Klinik Central SS15 No 11-G, Jalan SS15/8A, 47500 47500 Subang Jaya Selangor",3.074114,101.588304,+6016-207 2668,klinikcentralss15@gmail.com,TRUE,TRUE,FALSE
MediHome Clinic,W.P. Kuala Lumpur,"32, Ground Floor, Jalan Jalil 1, Bumi Bukit Jalil, Lebuhraya Puchong-Sg Besi 57000 Bukit Jalil ",3.049493,101.67016,,medihomeclinic1@gmail.com,TRUE,TRUE,FALSE
KLINIK MEDILOVE SS15,Selangor,"No 5 (Ground Floor) Jln SS 15/4E, SS 15, 47500 Subang Jaya Selangor",3.073719,101.586178,+6011 13001828,medilovess15@gmail.com,TRUE,TRUE,FALSE
Klinik Mediviron Taming Jaya,Selangor,"2-G, Jalan Medan Taming 3A, Pusat Perniagaan Taming Jaya 1, Taman Taming Jaya, 43300 Seri Kembangan Selangor",3.023458,101.741788,+603-9544 1920,medivirontamingjaya@gmail.com,TRUE,TRUE,FALSE
Klinik Allsome,Selangor,"C-G-05, Sunsuria Forum @ 7th Avenue, Jalan Setia Dagang AL U13/AL, 40170 Setia Alam Selangor",3.105348,101.467121,+6017-874 0689,allsomemedic@gmail.com,TRUE,TRUE,FALSE
He Medical Clinic,Selangor,"Unit 2-B, Level 2, Top Glove Tower 16 Persiaran Setia Dagang Seksyen U13, Setia Alam 40170 Shah Alam Selangor",3.107757,101.459164,+6017-6592 567,asyiqin@hemedclinic.com,TRUE,TRUE,FALSE
ALPRO Pharmacy Bukit Serdang (Under My PrEP Pharmacy research),Selangor,"No. 45, Ground Floor, Jalan BS 4/1, Seksyen 4, Taman Bukit Serdang  43300 Seri Kembangan Selangor",3.020534,101.700237,+6019-225 2923,bskbsf@alpropharmacy.com,TRUE,FALSE,FALSE
Meditree Clinic,Selangor,"No 36, Ground Floor, Jalan USJ 10/1B,  47620 UEP Subang Jaya Selangor",3.049113,101.585019,012-4108011,meditreeclinic@hotmail.com,TRUE,TRUE,FALSE
Poliklinik Dan Surgeri Tan,Selangor,"33, Jalan USJ 10/1D Taipan Business Centre  47620 Subang Jaya Selangor",3.049171,101.584247,+603-5634 5624,szemayng@gmail.com,TRUE,FALSE,FALSE
KLINIK SENTOSA KAPAR,Selangor,"No 15, Tingkat Bawah Jalan Besar Kapar, Taman Sentosa Kapar 42200 Kapar Selangor",3.137568,101.374087,+6019 5557579,kaparkliniksentosa@gmail.com,TRUE,TRUE,FALSE
Primer Cherang Clinic Shah Alam,Selangor,44-G & 46-G Jalan Pahat G 15/G Seksyen 15  40200 Shah Alam Selangor,3.063794,101.526758,+6016-961 7007,primercherangsa@gmail.com,TRUE,TRUE,FALSE
KLINIK SENTOSA BANDAR PUTERI,Selangor,"38-G, Jalan Puteri 1/4, Bandar Puteri,  47100 Puchong Selangor",3.027079,101.616938,+6018 9088898,kliniksentosabp@gmail.com,TRUE,TRUE,TRUE
Klinik Kesihatan Seksyen 7 Shah Alam,Selangor,"2, Persiaran Kayangan Seksyen 7 40000 Shah Alam Selangor",3.072283,101.491145,+603-5518 6531,,TRUE,FALSE,TRUE
ALPRO Pharmacy Bandar Puteri Puchong (Under My PrEP Pharmacy research),Selangor,"26G, Jalan Puteri 1/2, Bandar Puteri  47100 Puchong Selangor",3.026562,101.615981,+6019-274 1923,bpcbp1@alpropharmacy.com,TRUE,FALSE,FALSE
Chua Skin Specialist Clinic,Selangor,16-1 Jalan Puteri 1/4 Bandar Puteri Puchong 47100 Puchong Selangor,3.026049,101.616649,+011-1123 2398,info@chuaskinspecialist.com,TRUE,TRUE,FALSE
Full Care Clinic,Selangor,"PA-S-06(G), Pearl Avenue Jalan Pasir Emas, Sungai Chua 43000 Kajang Selangor",2.985275,101.779403,+603-8211 6120,admin@fullcare.com.my,TRUE,TRUE,FALSE
Klinik Lee,Selangor,No. 48G Jalan Puteri 5/2 47100 Puchong 47100 Puchong Selangor,3.016028,101.614323,+603-8060 7885,leecheetzen@hotmail.com,TRUE,FALSE,FALSE
Nova Clinic,Selangor,43G Jln Equine 1A Tmn Equine  43300 Selangor Selangor,2.998299,101.679124,,novaclinic2023@gmail.com,TRUE,TRUE,FALSE
Poliklinik Damai Emergency,Selangor,"No 12A, Jalan Kajang Mewah 3 Taman Kajang Mewah 43000 Kajang Selangor",2.976014,101.780152,+6012 7984 050 ,poliklinikdamai@hotmail.com,TRUE,TRUE,FALSE
Klinik Dr Shakinah,Selangor,"No. 35, Jln Panglima Hitam M35/M, Alam Impian, Seksyen 35 4047 Shah Alam Selangor",3.027885,101.515702,+6012-435 3554,shakinah_12@hotmail.com,TRUE,TRUE,FALSE
Klinik Medi Royal,Selangor,"No 4, Ground Floor Jalan Sungai Garing 27/61 40400 Taman Alam Megah, Sek 27, Shah Alam Selangor",3.010674,101.559788,+603-5161 1830,klinikmediroyal@gmail.com,TRUE,TRUE,FALSE
Klinik Mediviron Putra Heights,Selangor,"No. 43-G, Jalan Putra Mahkota 7/6C, Putra Heights, 47650 Subang Jaya Selangor",2.996205,101.572841,+6011-5628 2327,medivironputraheights@gmail.com,TRUE,TRUE,FALSE
KLINIK SENTOSA (TAMAN SENTOSA),Selangor,"26, Jalan Dato Yusuf Shahbudin 29, Taman Sentosa, 41200 Klang, Selangor  41200 Klang Selangor",3.009703,101.465339,+6019 5557257,kliniksentosa26@gmail.com,TRUE,TRUE,FALSE
Klinik Kesihatan Jaya Gading (MyPrEPGov2023),Pahang,"Lorong Jaya Gading 14, Kampung Batu Sepuluh  25150 Kuantan Pahang",3.754914,103.203484,+609-538 4252,,TRUE,FALSE,TRUE
Klinik Kesihatan Pandamaran,Selangor,"Jalan Raja Muda Musa, Kawasan 10  42000 Pelabuhan Klang Selangor",3.014355,101.413254,+603-3165 8770,,TRUE,FALSE,TRUE
Klinik Alam Medic Cyberjaya,Selangor,No 3 Block A Jalan GC 1  63000 Cyberjaya Selangor,2.92526,101.655989,+603-8322 6172,kamcbj.general@gmail.com,TRUE,TRUE,FALSE
Klinik Familink,Selangor,"A-G-2, Cybersquare, Jalan Teknokrat 6, Cyber 5 63000 Cyberjaya Selangor",2.91892,101.657778,+603-8328 9414 ,klinik.familink@gmail.com,TRUE,FALSE,FALSE
Klinik Sentosa Pandamaran,Selangor,"No 7A, Jalan Pandamaran KS/05  42000 Klang Selangor",3.006306,101.40756,+6016-555 7731,pkpandamaran@gmail.com,TRUE,TRUE,FALSE
Prefer Clinic,Selangor,"58G, Jalan Bayu Laut 4/KS09, Kota Bayuemas 41200 Klang Selangor",2.967008,101.490712,+6017-265 0353,clinicprefer@gmail.com,TRUE,TRUE,FALSE
ALPRO Pharmacy Neo Cyber (Under My PrEP Pharmacy research),Selangor,"51-G Blok G, Neo Cyber Lingkaran Cyber Point Barat, Cyber 12 63000 Cyberjaya Selangor",2.915539,101.651409,+6019-984 5923,bcjnc1@alpropharmacy.com,TRUE,FALSE,FALSE
Catalyst Clinic,Selangor,No 6-G Jalan Eco Santuari 8/1A Eco Santuari 42500 Teluk Panglima Garang Selangor,2.943572,101.541193,,admin@catalystclinic.com.my,TRUE,TRUE,FALSE
Care Clinic,Selangor,"59, Ground Floor Jalan Ehsan Perdana 7/KS5, Off Jalan Pandamaran 42000 Port Klang Selangor",2.999852,101.39283,+603-3885 6197,laukokfang066@hotmail.com,TRUE,FALSE,FALSE
Klinik OneCare 24jam,Selangor,"19, Jalan Puteri 3A/1 Bandar Puteri Bangi 43000 Kajang Selangor",2.878723,101.796017,,onecareklinik@gmail.com,TRUE,TRUE,FALSE
Klinik Soo,Pahang,A97 Jalan Air Putih  25300 Kuantan Pahang,3.831401,103.336349,+6011-6081 6864,soobwei@gmail.com,TRUE,TRUE,FALSE
Dr Lim Clinic,Pahang,"B-22 Tingkat bawah, Jalan Seri Kuantan 81, Kuantan Star City II  25300 Kuantan Pahang",3.825157,103.336708,+609-565 4457,limmedicare2023@gmail.com,TRUE,FALSE,FALSE
Klinik Kesihatan Beserah (MyPrEPGov2023),Pahang,Kampung Pelindung  26100 Kuantan Pahang,3.83513,103.370692,+609-544 5633,,TRUE,FALSE,TRUE
U.n.i Klinik Sikamat,Negeri Sembilan,"No. 418 & 419, Ground Floor, Jalan Sri Penaga 12 Taman Sri Penaga 2 70400 Seremban Negeri Sembilan",2.755548,101.961318,,arborvitae.h@gmail.com,TRUE,TRUE,FALSE
Poliklinik MUC - Labu,Negeri Sembilan,"3, Wisma Koperasi Labu Jalan Koperasi, Lorong Labu 1 71900 Seremban Negeri Sembilan",2.727902,101.936463,+6010-231 7322,labu@muclinics.com,TRUE,TRUE,FALSE
Klinik Maria,Negeri Sembilan,"155, Jalan Dato Bandar Tunggal,  70000 Seremban Negeri Sembilan",2.721226,101.939758,+606 7611 246,balakrishnan_vani@yahoo.com,TRUE,TRUE,FALSE
Klinik Kesihatan Seremban (MyPrEPGov2023),Negeri Sembilan,"Jalan Rasah, Seremban Seremban, Bukit Rasah  70300 Seremban Negeri Sembilan",2.708415,101.939819,+606-767 9267,,TRUE,FALSE,TRUE
POLIKLINIK FAMILY CARE 24 JAM,Negeri Sembilan,"No 45, Jalan PKBB 3 Pusat Komersial Bukit Blossom 70100 Seremban Negeri Sembilan",2.699813,101.95185,+606 630 3113,draliffpfc@gmail.com,TRUE,FALSE,FALSE
Poliklinik Fateh,Negeri Sembilan,"1267G, Jalan Suriaman Biz 1, Pusat Komersial Suriaman Bandar Sri Sendayan 71950 Seremban Negeri Sembilan",2.699805,101.858321,+6017-5752 050,poliklinikfateh@gmail.com,TRUE,TRUE,FALSE
Klinik Kesihatan Kuala Dungun,Terengganu,Kg Alor Tembesu Kampung Alur Temesu 23000 Kuala Dungun Terengganu,4.761554,103.414119,+609-845 8820,,TRUE,FALSE,TRUE
Poliklinik Seremban 3,Negeri Sembilan,"No.18, Jalan KU1, Pusat Komersial University 70300 Seremban Negeri Sembilan",2.671729,101.932998,+6018-3612 988,poliklinikseremban25@gmail.com,TRUE,FALSE,FALSE
Poliklinik Ar Razi Perubatan &  X-Ray Pekan,Pahang,"No 18 & 19, Lorong Peramu Permai 1 Peramu Jaya 26600 Pekan Pahang",3.550628,103.381405,+6019-964 7113,arrazipekan18@gmail.com,TRUE,FALSE,FALSE
Klinik Insyirah,Terengganu,"Lot 60017 (PN 14060) Kampung Durian Burung, Mukim Kubang Parit  20050 Kuala Terengganu Terengganu",5.30374,103.110596,+6019-449 6443,klinikinsyirahdb@gmail.com,TRUE,TRUE,FALSE
UCSI Hospital,Negeri Sembilan,"No.2, Avenue 3, Persiaran Springhill,  71010 Port Dickson Negeri Sembilan",2.603226,101.862718,+606-648 8888,info@ucsihospital.com,TRUE,TRUE,FALSE
