name,state,Full Address,Country,lat,lng,providesPrep,providesPep,freeSTIscreening,googlePlaceId,phone,email
MyGombak Clinic,W.P. Kuala Lumpur,"No. 60, Jalan Jernai 4, Medan Idaman Gombak 53100 KL W.P. Kuala Lumpur",Malaysia,3.212029,101.7111953,TRUE,TRUE,FALSE,EnA2MCwgSmFsYW4gSmVybmFpIDQsIE1lZGFuIElkYW1hbiBCdXNpbmVzcyBDZW50cmUsIDUzMTAwIEt1YWxhIEx1bXB1ciwgV2lsYXlhaCBQZXJzZWt1dHVhbiBLdWFsYSBMdW1wdXIsIE1hbGF5c2lhIjASLgoUChIJ8fBEk3Q4zDERJKW9w3IDU2sQPCoUChIJPwTK9HQ4zDERIWtx31bGXgA,,mygombakclinic@gmail.com
Klinik Kwan and Chong,W.P. Kuala Lumpur,"100G, Jalan Rimbunan Raya Laman Rimbunan, 52100 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.2122027,101.6488717,TRUE,TRUE,FALSE,ChIJEzyE6UdGzDER98XIM-huoTI,+6017-993 0023,klinikkwanchong8kepong@gmail.com
Community Health Care Clinic,W.P. Kuala Lumpur,"2, Level 1, Jalan Haji Salleh, Sentul, 51100 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1828867,101.6911657,TRUE,TRUE,TRUE,ChIJm801Gw9IzDERu_yftE9HA7I,+603-4051 3611,ramesh@ptfmalaysia.org
Klinik Dr Lau,Selangor,"1-17A, Jalan Desa D 1/5 Desa Aman Puri 52100 Kepong Selangor",Malaysia,3.2120181,101.616552,TRUE,TRUE,FALSE,ChIJG99DMTVHzDERmL2s7ah4sow,+6019-426 1899,klinikdrlauamanpuri@gmail.com
Klinik Kok Doh,W.P. Kuala Lumpur,"No. 38, Jalan 17/42 Taman Kok Doh 51200 Kuala Lumpur, Malaysia W.P. Kuala Lumpur",Malaysia,3.1952108,101.6650672,TRUE,TRUE,TRUE,ChIJmVPHBXdHzDERiVac-OQln4k,,klinikkokdoh@gmail.com
Hospital Sungai Buloh,Selangor,Infectious Disease Clinic Jalan Hospital 47000 Sungai Buloh Selangor,Malaysia,3.219573,101.5830811,TRUE,TRUE,TRUE,ChIJ1_yYeLBFzDER7amk8eXrfWo,+603-6145 4333,
Klinik Kesihatan Kuala Lumpur (MyPrEPGov2023),W.P. Kuala Lumpur,"Jalan Temerloh, Taman Tasik Titiwangsa 53200 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1736162,101.7082792,TRUE,FALSE,TRUE,ChIJw1POTeA3zDERpt1df4D4ygA,+603-2618 3200,kkkl@moh.gov.my
A Plus Medical Clinic (Segambut),W.P. Kuala Lumpur,"Lot 1-02A , 1st Floor ,Rain Tree Rain @The Era Duta North Era Segambut, No 208 ,Jalan Segambut 51200 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1822614,101.6750202,TRUE,TRUE,FALSE,ChIJ9fC5SQBJzDERoT84iTuLzNY,,aone.medclinic@gmail.com
Klinik Perubatan Carewell,W.P. Kuala Lumpur,"No. 2-0-12, Menara KLH, Sentul, 51200 Off Jalan Ipoh 51200 Wilayah Persekutuan Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1770039,101.6856153,TRUE,TRUE,FALSE,ChIJN1taaxNIzDERNKKCV7U8KQ8,+6016-900 4803,carewellenlivenhealth@gmail.com
Medic Clinic,W.P. Kuala Lumpur,"Unit No. 1-8, Level 1, Plaza Menjalara No.1, Jalan Menjalara Idaman, Bandar Menjalara 52200 Kepong W.P. Kuala Lumpur",Malaysia,3.1937071,101.6296154,TRUE,TRUE,FALSE,ChIJD2gZBB1GzDERXxDQYSx-bqM,+6018-211 5339,medic.clinic18@gmail.com
Poliklinik Medan Putra,W.P. Kuala Lumpur,"51G, Jalan Medan Putra 1 Medan Putra Business Centre 52200 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1919586,101.6256967,TRUE,FALSE,FALSE,ChIJe-lUnwJGzDER2aYIxeD3O48,,poliklinikmedanputra001@gmail.com
Qualitas Health - Radix Clinic,W.P. Kuala Lumpur,"F-1-12, Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity 52200 Kuala Lumpur. W.P. Kuala Lumpur",Malaysia,3.1862451,101.6359858,TRUE,TRUE,FALSE,ChIJndoWLKJIzDERl6rzF1R9U9I,,radixclinic@outlook.com
Premier Clinic Mont Kiara,W.P. Kuala Lumpur,"No.10, Jalan Solaris 4 Solaris Mont Kiara 50480 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1757583,101.6593634,TRUE,TRUE,FALSE,ChIJFafuVg9JzDERKPiYZrmv8u4,+6012-326 3563,dr.foo@premier-clinic.com
Universal Clinic,W.P. Kuala Lumpur,"Great Eastern Mall, Lot 3A, Level 4 Jalan Ampang 50450 Ampang W.P. Kuala Lumpur",Malaysia,3.1600725,101.7369013,TRUE,TRUE,FALSE,ChIJ14X1CEA3zDERbrGH8yN7_nY,+603-4265 4744,admin@universalclinic.com.my
Perdana Medical Clinic,W.P. Kuala Lumpur,"No 1C3, Ground Floor, North Block, Wisma Golden Eagle Realty, 142 D, Jalan Ampang, 50450 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1592926,101.7091679,TRUE,TRUE,FALSE,ChIJ_dyl8eI3zDER92atfaUunp4,017-3843808,gnanaguru66@gmail.com
Klinik Kesihatan Ampang (MyPrEPGov2023),Selangor,"3, Jalan Ampang Mewah, Pekan Ampang, 68000 Ampang Selangor",Malaysia,3.1451499,101.7613522,TRUE,FALSE,TRUE,ChIJB6U5evs2zDERsEzT-_ni7TE,+603-4292 3332,bilik32kkampang@gmail.com
Klinik Chong (Medicruz),W.P. Kuala Lumpur,55059 2nd Floor Bangunan Eng Choon Jalan Ampang 50450 Kuala Lumpur W.P. Kuala Lumpur,Malaysia,3.1515214,101.6981589,TRUE,TRUE,FALSE,ChIJlfQCO9c3zDERMhNTn8I8_Rc,+6012-747 7759,medicruzhealth@gmail.com
The Alpha Clinic,W.P. Kuala Lumpur,"Unit B-G-10, Gateway Corporate Suites, Gateway Kiaramas No.1 Jalan Desa Kiara, Mont Kiara 50480 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1658934,101.6453759,TRUE,TRUE,FALSE,ChIJ-xUp7e5IzDERPgYoGLnevQo,+6011-6244 6023,info@thealphaclinic.com.my
Pulse Clinic Kuala Lumpur,W.P. Kuala Lumpur,61A (First Floor) Jalan Sultan Ismail Bukit Bintang 50250 Kuala Lumpur W.P. Kuala Lumpur,Malaysia,3.1473012,101.7108158,TRUE,TRUE,FALSE,ChIJ6TqIq9c3zDERXTFtEPyu7zg,+603-2110 2122,info.kl@pulse-clinic.com
Klinik Careclinics (Bukit Bintang),W.P. Kuala Lumpur,88A Jalan Alor 50200 Bukit Bintang W.P. Kuala Lumpur,Malaysia,3.1463606,101.7092682,TRUE,TRUE,FALSE,ChIJ3bddhyk2zDERVXm4ycq2qVs,,mucbukitbintang@careclinics.com.my
Klinik Primary Care 4U,W.P. Kuala Lumpur,"No 60,Ground Floor, Jalan Hang Kasturi 50050 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1439265,101.695816,TRUE,TRUE,FALSE,ChIJRUzBN-xJzDER6ZXwVLceE14,,gpkpc4u@gmail.com
Klinik Unimed Plaza Damansara,W.P. Kuala Lumpur,"PL-01, Plaza Damansara Block A 45, Medan Setia 1, Bukit Damansara 50490 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1498937,101.653711,TRUE,FALSE,FALSE,ChIJIefxtANJzDERuqhbjHiCv0M,,drjackwong@yahoo.com
Klinik Mediviron Maluri,W.P. Kuala Lumpur,228 Jalan Mahkota Taman Maluri 56100 Kuala Lumpur W.P. Kuala Lumpur,Malaysia,3.1287308,101.7326135,TRUE,TRUE,FALSE,ChIJ2clTqms2zDERKzxg3AlXaks,+03-9201 0515,medivironmaluri@gmail.com
Klinik Hisential Bangsar,W.P. Kuala Lumpur,"Lot S122, 2nd Floor, Bangsar Shopping Centre, 285, Jalan Maarof, Bukit Bandaraya 5900 Bangsar W.P. Kuala Lumpur",Malaysia,3.1428401,101.6675173,TRUE,TRUE,FALSE,ChIJ7_y5Tq9JzDERVkRzAXei3c8,+6011-3667 7967,bangsarclinic@hisential.com
U.n.i Klinik TTDI,W.P. Kuala Lumpur,"10, Jalan Tun Mohd Fuad 1 Taman Tun Dr Ismail 60000 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1420283,101.6290525,TRUE,TRUE,FALSE,ChIJx7RIP-BJzDERiFr23DuRtfk,+603-7732 8664,u.n.iklinikttdi@gmail.com
Klinik Plaza Bukit Bintang,W.P. Kuala Lumpur,"56B, 2nd Floor Jalan Bukit Bintang 55100 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1453565,101.7093304,TRUE,TRUE,FALSE,ChIJv1vRnik2zDERwAWEKdqB3wo,+6019-757 5579,clinicbukitbintang@gmail.com
Klinik Taman Tun Dr Ismail,W.P. Kuala Lumpur,"38, Jalan Tun Mohd Fuad 60000 Taman Tun Dr Ismail W.P. Kuala Lumpur",Malaysia,3.1401094,101.6293123,TRUE,FALSE,FALSE,ChIJ9SmX9zpJzDERK3H40jJFo7k,+603-7729 4096,klinikttdi38@gmail.com
KLINIK MEDILOVE KOTA DAMANSARA,Selangor,"11-1 (Ground Floor), Jalan PJU 5/10, Dataran Sunway 47810 Petaling Jaya Selangor",Malaysia,3.151296,101.592902,TRUE,TRUE,FALSE,ChIJ-YiywblPzDERz_ot0daHabQ,+6016 2299233,medilovekd@gmail.com
Poliklinik My Clinic (TGM),Selangor,"Ashlo Medical Services Sdn Bhd, Tropicana Gardens Mall (TGM)T Lot LG-01&02, Lower Ground Floor, No 2A Persiaran Surian Tropicana Indah 47810 Petaling Jaya Selangor",Malaysia,3.1489758,101.5962333,TRUE,TRUE,FALSE,ChIJ0_xXrRJPzDERqte1nK-y08M,+603-7629 5911,myclinic.tgm0102@gmail.com
KLINIK MEDILOVE DAMANSARA UPTOWN,Selangor,"No 12 (Ground Floor), Jalan SS21/39 Damansara Utama 47400 Petaling Jaya Selangor",Malaysia,3.1366669,101.6214303,TRUE,FALSE,FALSE,ChIJgx7MfB1JzDERZzI58jpy_ts,+6011-5656 8863,mediloveuptown@gmail.com
Klinik Kesihatan Cheras (MyPrEPGov2023),W.P. Kuala Lumpur,"No 14, Jalan Yaacob Latiff, Bandar Tun Razak 56000 Cheras W.P. Kuala Lumpur",Malaysia,3.106658,101.7268766,TRUE,FALSE,TRUE,ChIJMalWKuc1zDERpMD02nHYuJs,+603-9133 3322,kkcheras@moh.gov.my
Thomson Hospital Kota Damansara (Infectious Disease),Selangor,"11, Jalan Teknologi, PJU 5, Kota Damansara 47810 Petaling Jaya Selangor",Malaysia,3.1489199,101.5789458,TRUE,TRUE,FALSE,ChIJW3miivxOzDERGYp_hMJzUqY,+603-6287 1111,limsim7@yahoo.com
ALPRO Pharmacy PJ Seksyen 17 (Under My PrEP Pharmacy research),Selangor,"1088, Jalan 17/29, Seksyen 17 46400 Petaling Jaya Selangor",Malaysia,3.1293423,101.6353717,TRUE,FALSE,FALSE,ChIJ3bQW9jBJzDER6agskrvE_Sk,+6019-470 1923,bpj171@alpropharmacy.com
Family Clinic Seventeen,Selangor,"923A, Jalan 17/38 46400 Petaling Jaya Selangor",Malaysia,3.1282838,101.6361305,TRUE,TRUE,FALSE,ChIJBSSLAkdJzDERtzftffo0CiM,+603-7498 0797,familyclinicpj17@gmail.com
Klinik SRI,W.P. Kuala Lumpur,"B1-7 Plaza Dwi Tasik Jalan Sri Permaisuri, Bandar Sri Permaisuri 56000 Cheras W.P. Kuala Lumpur",Malaysia,3.102851,101.713178,TRUE,FALSE,FALSE,ChIJacqJGvo1zDERWHgb_MDgpAk,+6011-1422 0903,drsri@kliniksri.com.my
A Plus Medical Clinic,Selangor,"69, Jalan SS 22/11, Damansara Jaya Petaling Jaya 47400 Selangor Selangor",Malaysia,3.1295613,101.6210646,TRUE,TRUE,FALSE,ChIJ29an0EtJzDERzjy1rgGtIM0,+6016-931 1128,aone.medclinic@gmail.com
ALPRO Pharmacy Bandar Sri Permaisuri (Under My PrEP Pharmacy research),W.P. Kuala Lumpur,"6, Jalan Sri Permaisuri 9 Bandar Sri Permaisuri 56000 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.1017934,101.7072572,TRUE,FALSE,FALSE,ChIJ22Ke-_c1zDERxOn6ZGT-Pcc,+6019-203 1923,wcrsp1@alpropharmacy.com
University Malaya Specialist Centre (UMSC),W.P. Kuala Lumpur,"Lot 28, Lorong Universiti Lembah Pantai 50603 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.116164,101.6507506,TRUE,TRUE,FALSE,ChIJC1mOx3xJzDERMSh1ljaHHFQ,+603-7841 4000,iskandarshah@ummc.edu.my
University Malaya Medical Centre (Infectious Disease),W.P. Kuala Lumpur,"Klinik Perubatan 3, Ground Floor, Menara Utama University Malaya Medical Centre, Jalan Universiti, Lembah Pantai 50603 Kuala Lumpur",Malaysia,3.113369,101.6530522,TRUE,TRUE,FALSE,ChIJy83Jen1JzDERFEoAaTiPKQw,+603-7949 3641,ummc.prep@gmail.com
The Red Clinic,Selangor,"23-PI, Block B, Jaya One 72A Jalan Universiti, Pjs 13 46200 Petaling Jaya Selangor",Malaysia,3.1185604,101.635816,TRUE,TRUE,FALSE,ChIJw9VkLlxJzDER_qwMPpXGIGU,+6010-873 0175,
Klinik Bangsar South,W.P. Kuala Lumpur,"Klinik Bangsar South, 1-8 ground floor Centrio Pantai HillPark, Jalan Pantai Murni, Bangsar South 59200 kuala lumpur W.P. Kuala Lumpur",Malaysia,3.1081104,101.6657838,TRUE,TRUE,FALSE,ChIJzz9lDixKzDERhtltqgEaBps,+6012-650 2915,parveenns@gmail.com
KLINIK MEDIC 360 24JAM,W.P. Kuala Lumpur,"179 (Ground Floor) Jalan Sarjana, Taman Connaught, 56000 Cheras W.P. Kuala Lumpur",Malaysia,3.0820993,101.736989,TRUE,TRUE,FALSE,ChIJg7PuPrs1zDERCT0FUA9beDM,+6018 5783 360,km360connaught@gmail.com
Klinik Loh,Selangor,96-1 Jalan PJU 1/3B Sunwaymas Commercial Centre 47301 Petaling Jaya Selangor,Malaysia,3.118769,101.598533,TRUE,TRUE,FALSE,ChIJpYO_-aNOzDER7JidKnqtprw,+603-7806 2288,klinikloh@doctor.com
Klinik Renewed Medic,Selangor,"Lot G-G-13, Cantara Residences, 6, Jalan PJU 1A/42B, Ara Damansara, 47301 Petaling Jaya Selangor",Malaysia,3.1174035,101.5895395,TRUE,TRUE,FALSE,ChIJjXnP-P1PzDERHfMrMHo1bdU,+6018 3885 796,admin@essentialhealthcaremy.com
Klinik Tecna,Selangor,"Suite G05 Wisma Tecna, 18 Jalan 51A/223, Seksyen 51A 46100 Petaling Jaya Selangor",Malaysia,3.101984,101.6356128,TRUE,TRUE,FALSE,ChIJt1yoeehLzDERqAYrZve0Doc,+6011-2660 3223,tecnamedical@gmail.com
Elegant Clinic Sdn Bhd,W.P. Kuala Lumpur,"A-G-5, Kuchai Exchange No.43, Jalan Kuchai Maju 13 58200 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.085475,101.6930131,TRUE,TRUE,FALSE,ChIJBTKnCKJLzDERn6uAHlzXkuI,+6012-316 6889,elegantklinik@gmail.com
Poliklinik My Clinic Ara Damansara,Selangor,"H-BG-09, Block Harmoni, D'aman Crimson Commercial Centre, Jalan PJU 1A/41, Ara Damansara 47301 Petaling Jaya Selangor",Malaysia,3.1148388,101.5912309,TRUE,TRUE,FALSE,ChIJLRjSm59OzDERS1C-Tnd1GrI,+603-7624 5450,myclinic.staff@gmail.com
U.n.i Klinik Alam Damai,W.P. Kuala Lumpur,No. 43 Jalan Damai Niaga 1 Alam Damai 56000 Cheras W.P. Kuala Lumpur,Malaysia,3.0742616,101.7378312,TRUE,TRUE,FALSE,ChIJRWtyBqc1zDEROGZh3rm56H0,+6011-5136 3041,abdulroniyaakub@rocketmail.com
Klinik Kesihatan Kelana Jaya,Selangor,"Lot 38294 Jalan SS6/3A, Ss 6 47301 Petaling Jaya Selangor",Malaysia,3.0991534,101.6005356,TRUE,FALSE,TRUE,ChIJ_xVGZRFMzDERq4SHiPidsI0,+603-7804 5001,
Klinik Medilove Bandar Mahkota Cheras,Selangor,"65 Ground Floor, Jalan Temenggung 3/9, Bandar Mahkota Cheras 43200 Cheras Selangor",Malaysia,3.0512523,101.7902949,TRUE,TRUE,FALSE,ChIJuzMMeX81zDERahuBYelMNqc,+6011-5657 0478,medilovebmc@gmail.com
ALPRO Pharmacy Trillium Sungai Besi (Under My PrEP Pharmacy research),W.P. Kuala Lumpur,"31-G, Jalan Tasik Utama 6, Medan Niaga Tasik Damai Sungai Besi 57000 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.0623188,101.7096328,TRUE,FALSE,FALSE,ChIJ6UpHmYg1zDERqmGCxrdM3dI,+6019-446 1923,wsbtr1@alpropharmacy.com
Klinik Dr Leela Ratos Dan Rakan-Rakan &#8211; Sungai Way,Selangor,"First Floor, 626-A, Jalan SS 9A/1, Sungai Way 47300 Petaling Jaya Selangor",Malaysia,3.0853448,101.6206998,TRUE,TRUE,FALSE,ChIJP1hGxYhLzDERPyx8IuhrJgw,+6012-732 3739,sungaiwaylrr@gmail.com
Mediklinik Nusa,Selangor,"No 42A, 00, Jalan Damai Perdana 6/1A Bandar Damai Perdana 56000 Cheras Selangor",Malaysia,3.0528753,101.7370653,TRUE,TRUE,FALSE,ChIJ2R2x4tM1zDERK1XHxH0m94s,+6011-1337 2317,nusacare22@gmail.com
MYGP Clinic (Damai Perdana),Selangor,"No 5-GF, Jalan Damai Perdana 1/8b, Bandar Damai Perdana, 43200 Cheras Selangor",Malaysia,3.0489082,101.7399759,TRUE,TRUE,FALSE,ChIJg63TvQc1zDERWzvJrOwYY5E,,mygpclinic2u@gmail.com
MYGP Clinic Bukit Jalil,W.P. Kuala Lumpur,"18-G, BLOK 2, Jalan Jalil Jaya 2 Jalil Link 57000 Bukit Jalil W.P. Kuala Lumpur",Malaysia,3.0582367,101.6737926,TRUE,TRUE,FALSE,EmpibG9rIDIsIDE4LCBKYWxhbiBKYWxpbCBKYXlhIDIsIEphbGlsIExpbmssIDU3MDAwIEt1YWxhIEx1bXB1ciwgV2lsYXlhaCBQZXJzZWt1dHVhbiBLdWFsYSBMdW1wdXIsIE1hbGF5c2lhIiIaIAoWChQKEgmdwry06ErMMRE3lmUjb8g3txIGYmxvayAy,,mygpbukitjalil@gmail.com
U.N.I Klinik Setia Alam,Selangor,"No 38-G,Jalan Setia Gemilang BM U13/BM Precint 15,Setia Alam 40170 Shah Alam Selangor",Malaysia,3.1278857,101.4678873,TRUE,TRUE,FALSE,ChIJQ04Fpi1RzDER7QHmiTdRwkM,+03-3359 0588,unikliniksetia.alam@gmail.com
Klinik Central SS15,Selangor,"Klinik Central SS15 No 11-G, Jalan SS15/8A, 47500 47500 Subang Jaya Selangor",Malaysia,3.0741135,101.5883041,TRUE,TRUE,FALSE,ChIJSWKlWB9NzDER6c2KzQEY1u8,+6016-207 2668,klinikcentralss15@gmail.com
MediHome Clinic,W.P. Kuala Lumpur,"32, Ground Floor, Jalan Jalil 1, Bumi Bukit Jalil, Lebuhraya Puchong-Sg Besi 57000 Bukit Jalil",Malaysia,3.0489119,101.6706712,TRUE,TRUE,FALSE,ChIJTSqmQ8hLzDERqa06Hi81n3w,,medihomeclinic1@gmail.com
KLINIK MEDILOVE SS15,Selangor,"No 5 (Ground Floor) Jln SS 15/4E, SS 15, 47500 Subang Jaya Selangor",Malaysia,3.0771398,101.5866147,TRUE,TRUE,FALSE,ChIJg-DXR-xq8kcR_fjt2yvdXv4,+6011 13001828,medilovess15@gmail.com
Klinik Mediviron Taming Jaya,Selangor,"2-G, Jalan Medan Taming 3A, Pusat Perniagaan Taming Jaya 1, Taman Taming Jaya, 43300 Seri Kembangan Selangor",Malaysia,3.0235919,101.7418524,TRUE,TRUE,FALSE,ChIJ24i3CNDKzTERSqq7eByKyM8,+603-9544 1920,medivirontamingjaya@gmail.com
Klinik Allsome,Selangor,"C-G-05, Sunsuria Forum @ 7th Avenue, Jalan Setia Dagang AL U13/AL, 40170 Setia Alam Selangor",Malaysia,3.1058042,101.4681448,TRUE,TRUE,FALSE,ChIJj_RY4aFTzDERL_b9t5GKBlA,+6017-874 0689,allsomemedic@gmail.com
He Medical Clinic,Selangor,"Unit 2-B, Level 2, Top Glove Tower 16 Persiaran Setia Dagang Seksyen U13, Setia Alam 40170 Shah Alam Selangor",Malaysia,3.1084074,101.4604922,TRUE,TRUE,FALSE,ChIJeU7oQNxTzDER1zs868K05-M,+6017-6592 567,asyiqin@hemedclinic.com
ALPRO Pharmacy Bukit Serdang (Under My PrEP Pharmacy research),Selangor,"No. 45, Ground Floor, Jalan BS 4/1, Seksyen 4, Taman Bukit Serdang 43300 Seri Kembangan Selangor",Malaysia,3.0197192,101.7007957,TRUE,FALSE,FALSE,ChIJcSGOhhG1zTER9KfoXK2hVA0,+6019-225 2923,bskbsf@alpropharmacy.com
Meditree Clinic,Selangor,"No 36, Ground Floor, Jalan USJ 10/1B, 47620 UEP Subang Jaya Selangor",Malaysia,3.0494262,101.5847397,TRUE,TRUE,FALSE,ChIJDYcqa3tNzDERma38__3Jj3E,012-4108011,meditreeclinic@hotmail.com
Poliklinik Dan Surgeri Tan,Selangor,"33, Jalan USJ 10/1D Taipan Business Centre 47620 Subang Jaya Selangor",Malaysia,3.0491343,101.5842706,TRUE,FALSE,FALSE,ChIJt1opgcRMzDER3kF8Ir4Wlvk,+603-5634 5624,szemayng@gmail.com
KLINIK SENTOSA KAPAR,Selangor,"No 15, Tingkat Bawah Jalan Besar Kapar, Taman Sentosa Kapar 42200 Kapar Selangor",Malaysia,3.1329062,101.3760734,TRUE,TRUE,FALSE,ChIJl24VYmhWzDERG1PRBtuqneY,+6019 5557579,kaparkliniksentosa@gmail.com
Primer Cherang Clinic Shah Alam,Selangor,44-G & 46-G Jalan Pahat G 15/G Seksyen 15 40200 Shah Alam Selangor,Malaysia,3.0638072,101.5268683,TRUE,TRUE,FALSE,ChIJ20sgvxtNzDERVMipDI1iiEc,+6016-961 7007,primercherangsa@gmail.com
KLINIK SENTOSA BANDAR PUTERI,Selangor,"38-G, Jalan Puteri 1/4, Bandar Puteri, 47100 Puchong Selangor",Malaysia,3.027079,101.616938,TRUE,TRUE,TRUE,ChIJU8YStN21zTER9KU831O7OK0,+6018 9088898,kliniksentosabp@gmail.com
Klinik Kesihatan Seksyen 7 Shah Alam,Selangor,"2, Persiaran Kayangan Seksyen 7 40000 Shah Alam Selangor",Malaysia,3.0721503,101.4911182,TRUE,FALSE,TRUE,ChIJqXWqkYdNzDER-dRtrvaxpi4,+603-5518 6531,
ALPRO Pharmacy Bandar Puteri Puchong (Under My PrEP Pharmacy research),Selangor,"26G, Jalan Puteri 1/2, Bandar Puteri 47100 Puchong Selangor",Malaysia,3.0265621,101.6159805,TRUE,FALSE,FALSE,ChIJ1xZjsp21zTERUeBpwlwKpCI,+6019-274 1923,bpcbp1@alpropharmacy.com
Chua Skin Specialist Clinic,Selangor,16-1 Jalan Puteri 1/4 Bandar Puteri Puchong 47100 Puchong Selangor,Malaysia,3.026017,101.6167511,TRUE,TRUE,FALSE,ChIJpXB7Mai0zTER9E_lhKrQVlE,+011-1123 2398,info@chuaskinspecialist.com
Full Care Clinic,Selangor,"PA-S-06(G), Pearl Avenue Jalan Pasir Emas, Sungai Chua 43000 Kajang Selangor",Malaysia,2.9861803,101.7809517,TRUE,TRUE,FALSE,ChIJWbGg7xjLzTERuKgpWZTwXxU,+603-8211 6120,admin@fullcare.com.my
Klinik Lee,Selangor,No. 48G Jalan Puteri 5/2 47100 Puchong 47100 Puchong Selangor,Malaysia,3.0160275,101.6143225,TRUE,FALSE,FALSE,ChIJCXLHv1-zzTERlzayTwRkhqw,+603-8060 7885,leecheetzen@hotmail.com
Nova Clinic,Selangor,43G Jln Equine 1A Tmn Equine 43300 Selangor Selangor,Malaysia,2.9982527,101.6791585,TRUE,TRUE,FALSE,ChIJuaPwkiu1zTERHrry1OD9HJA,,novaclinic2023@gmail.com
