id (serial),statement (text),is_true (boolean),explanation,category 
,去做性病检测很尴尬。,FALSE,关心自己的健康并不可耻，医护人员会例行且保密地进行性病检测。,谣言
,一次戴两个安全套能提供额外保护。,FALSE,叠戴安全套会增加摩擦和破裂风险，应正确使用一只安全套并配合水性润滑剂。,谣言
,性病检测一定要检查生殖器。,FALSE,在没有症状时，许多检测只需尿液、血液或自采拭子；主要在出现症状时才需要体检。,谣言
,在热水浴池里发生性行为能大幅降低性病风险。,FALSE,氯水或热水浴池的水并不能预防性病，还可能增加其他感染风险。,谣言
,只要不发生性行为，就不会感染性病。,FALSE,有些性病即使没有性交也能传播，包括共用针具、血液接触或父母传给孩子；部分感染还会经由亲密皮肤或口腔接触扩散。,谣言
,除非你感染性病，否则伴侣不用做检测。,FALSE,双方都应该接受检测，因为一方可能无症状却仍会传染给另一方。,谣言
,性病不需要医疗干预。,FALSE,许多性病需要诊断和治疗以避免并发症，其中一些是慢性的，需要持续护理。,谣言
,活跃的成年人比青少年更容易感染性病。,FALSE,由于无保护性行为和医疗资源有限等因素，青少年和年轻成人的性病率往往更高。,谣言
,安全套可以防住所有性病。,FALSE,安全套对许多性病都很有效，但不是百分之百，对皮肤接触传播的疾病（如 HPV、疱疹）防护较弱。,谣言
,你总能看出自己是否患有衣原体感染。,FALSE,很多感染衣原体感染的人完全没有症状。,症状
,衣原体感染总会引起疼痛或明显的溃疡。,FALSE,衣原体感染有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有衣原体感染。,FALSE,衣原体感染即使没有明显症状也可能存在。,症状
,只有女性会出现衣原体感染的症状。,FALSE,无论男女都可能感染衣原体感染，不论是否出现症状。,症状
,衣原体感染的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的衣原体感染仍可能存在并引发并发症。,症状
,衣原体感染不会带来任何长期健康问题。,FALSE,衣原体感染若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，衣原体感染不会。,FALSE,包括衣原体感染在内的许多性病都会影响男女的生育能力。,健康影响
,衣原体感染会自己消失，不会造成伤害。,FALSE,未经治疗的衣原体感染会持续存在并导致严重健康问题。,健康影响
,衣原体感染只会影响私密部位。,FALSE,衣原体感染不只影响生殖器，还会波及身体其他部位。,健康影响
,与衣原体感染相关的健康问题只会发生在女性身上。,FALSE,衣原体感染会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染衣原体感染。,FALSE,衣原体感染可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染衣原体感染。,FALSE,衣原体感染可通过多种性接触传播。,传播途径
,衣原体感染可以通过马桶座传播。,FALSE,衣原体感染不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防衣原体感染。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染衣原体感染。,FALSE,即使没有明显症状，也可能传播衣原体感染。,传播途径
,事后清洗就能预防衣原体感染。,FALSE,清洁并不能预防衣原体感染，关键是做好防护和检测。,预防
,口服避孕药能够预防衣原体感染。,FALSE,避孕措施只能防怀孕，无法阻止衣原体感染等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染衣原体感染。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现衣原体感染，即使没有症状。,预防
,只有性伴侣多的人才需要担心衣原体感染。,FALSE,只要有性行为，就可能感染衣原体感染，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括衣原体感染在内的所有性病。,FALSE,某些性病（如衣原体感染）是病毒感染，抗生素无法治愈。,治疗
,治疗过衣原体感染之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染衣原体感染。,治疗
,用偏方或草药就能治好衣原体感染。,FALSE,衣原体感染需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，衣原体感染就彻底痊愈了。,FALSE,症状可能消失，但衣原体感染仍可能潜伏在体内。,治疗
,感染衣原体感染也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有淋病。,FALSE,很多感染淋病的人完全没有症状。,症状
,淋病总会引起疼痛或明显的溃疡。,FALSE,淋病有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有淋病。,FALSE,淋病即使没有明显症状也可能存在。,症状
,只有女性会出现淋病的症状。,FALSE,无论男女都可能感染淋病，不论是否出现症状。,症状
,淋病的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的淋病仍可能存在并引发并发症。,症状
,淋病不会带来任何长期健康问题。,FALSE,淋病若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，淋病不会。,FALSE,包括淋病在内的许多性病都会影响男女的生育能力。,健康影响
,淋病会自己消失，不会造成伤害。,FALSE,未经治疗的淋病会持续存在并导致严重健康问题。,健康影响
,淋病只会影响私密部位。,FALSE,淋病不只影响生殖器，还会波及身体其他部位。,健康影响
,与淋病相关的健康问题只会发生在女性身上。,FALSE,淋病会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染淋病。,FALSE,淋病可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染淋病。,FALSE,淋病可通过多种性接触传播。,传播途径
,淋病可以通过马桶座传播。,FALSE,淋病不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防淋病。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染淋病。,FALSE,即使没有明显症状，也可能传播淋病。,传播途径
,事后清洗就能预防淋病。,FALSE,清洁并不能预防淋病，关键是做好防护和检测。,预防
,口服避孕药能够预防淋病。,FALSE,避孕措施只能防怀孕，无法阻止淋病等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染淋病。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现淋病，即使没有症状。,预防
,只有性伴侣多的人才需要担心淋病。,FALSE,只要有性行为，就可能感染淋病，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括淋病在内的所有性病。,FALSE,某些性病（如淋病）是病毒感染，抗生素无法治愈。,治疗
,治疗过淋病之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染淋病。,治疗
,用偏方或草药就能治好淋病。,FALSE,淋病需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，淋病就彻底痊愈了。,FALSE,症状可能消失，但淋病仍可能潜伏在体内。,治疗
,感染淋病也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有单纯疱疹（HSV-1 和 HSV-2）。,FALSE,很多感染单纯疱疹（HSV-1 和 HSV-2）的人完全没有症状。,症状
,单纯疱疹（HSV-1 和 HSV-2）总会引起疼痛或明显的溃疡。,FALSE,单纯疱疹（HSV-1 和 HSV-2）有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有单纯疱疹（HSV-1 和 HSV-2）。,FALSE,单纯疱疹（HSV-1 和 HSV-2）即使没有明显症状也可能存在。,症状
,只有女性会出现单纯疱疹（HSV-1 和 HSV-2）的症状。,FALSE,无论男女都可能感染单纯疱疹（HSV-1 和 HSV-2），不论是否出现症状。,症状
,单纯疱疹（HSV-1 和 HSV-2）的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的单纯疱疹（HSV-1 和 HSV-2）仍可能存在并引发并发症。,症状
,单纯疱疹（HSV-1 和 HSV-2）不会带来任何长期健康问题。,FALSE,单纯疱疹（HSV-1 和 HSV-2）若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，单纯疱疹（HSV-1 和 HSV-2）不会。,FALSE,包括单纯疱疹（HSV-1 和 HSV-2）在内的许多性病都会影响男女的生育能力。,健康影响
,单纯疱疹（HSV-1 和 HSV-2）会自己消失，不会造成伤害。,FALSE,未经治疗的单纯疱疹（HSV-1 和 HSV-2）会持续存在并导致严重健康问题。,健康影响
,单纯疱疹（HSV-1 和 HSV-2）只会影响私密部位。,FALSE,单纯疱疹（HSV-1 和 HSV-2）不只影响生殖器，还会波及身体其他部位。,健康影响
,与单纯疱疹（HSV-1 和 HSV-2）相关的健康问题只会发生在女性身上。,FALSE,单纯疱疹（HSV-1 和 HSV-2）会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染单纯疱疹（HSV-1 和 HSV-2）。,FALSE,单纯疱疹（HSV-1 和 HSV-2）可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染单纯疱疹（HSV-1 和 HSV-2）。,FALSE,单纯疱疹（HSV-1 和 HSV-2）可通过多种性接触传播。,传播途径
,单纯疱疹（HSV-1 和 HSV-2）可以通过马桶座传播。,FALSE,单纯疱疹（HSV-1 和 HSV-2）不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防单纯疱疹（HSV-1 和 HSV-2）。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染单纯疱疹（HSV-1 和 HSV-2）。,FALSE,即使没有明显症状，也可能传播单纯疱疹（HSV-1 和 HSV-2）。,传播途径
,事后清洗就能预防单纯疱疹（HSV-1 和 HSV-2）。,FALSE,清洁并不能预防单纯疱疹（HSV-1 和 HSV-2），关键是做好防护和检测。,预防
,口服避孕药能够预防单纯疱疹（HSV-1 和 HSV-2）。,FALSE,避孕措施只能防怀孕，无法阻止单纯疱疹（HSV-1 和 HSV-2）等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染单纯疱疹（HSV-1 和 HSV-2）。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现单纯疱疹（HSV-1 和 HSV-2），即使没有症状。,预防
,只有性伴侣多的人才需要担心单纯疱疹（HSV-1 和 HSV-2）。,FALSE,只要有性行为，就可能感染单纯疱疹（HSV-1 和 HSV-2），并非只有多性伴的人会得。,预防
,抗生素可以治愈包括单纯疱疹（HSV-1 和 HSV-2）在内的所有性病。,FALSE,某些性病（如单纯疱疹（HSV-1 和 HSV-2））是病毒感染，抗生素无法治愈。,治疗
,治疗过单纯疱疹（HSV-1 和 HSV-2）之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染单纯疱疹（HSV-1 和 HSV-2）。,治疗
,用偏方或草药就能治好单纯疱疹（HSV-1 和 HSV-2）。,FALSE,单纯疱疹（HSV-1 和 HSV-2）需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，单纯疱疹（HSV-1 和 HSV-2）就彻底痊愈了。,FALSE,症状可能消失，但单纯疱疹（HSV-1 和 HSV-2）仍可能潜伏在体内。,治疗
,感染单纯疱疹（HSV-1 和 HSV-2）也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有人乳头瘤病毒（HPV）。,FALSE,很多感染人乳头瘤病毒（HPV）的人完全没有症状。,症状
,人乳头瘤病毒（HPV）总会引起疼痛或明显的溃疡。,FALSE,人乳头瘤病毒（HPV）有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）即使没有明显症状也可能存在。,症状
,只有女性会出现人乳头瘤病毒（HPV）的症状。,FALSE,无论男女都可能感染人乳头瘤病毒（HPV），不论是否出现症状。,症状
,人乳头瘤病毒（HPV）的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的人乳头瘤病毒（HPV）仍可能存在并引发并发症。,症状
,人乳头瘤病毒（HPV）不会带来任何长期健康问题。,FALSE,人乳头瘤病毒（HPV）若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，人乳头瘤病毒（HPV）不会。,FALSE,包括人乳头瘤病毒（HPV）在内的许多性病都会影响男女的生育能力。,健康影响
,人乳头瘤病毒（HPV）会自己消失，不会造成伤害。,FALSE,未经治疗的人乳头瘤病毒（HPV）会持续存在并导致严重健康问题。,健康影响
,人乳头瘤病毒（HPV）只会影响私密部位。,FALSE,人乳头瘤病毒（HPV）不只影响生殖器，还会波及身体其他部位。,健康影响
,与人乳头瘤病毒（HPV）相关的健康问题只会发生在女性身上。,FALSE,人乳头瘤病毒（HPV）会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）可通过多种性接触传播。,传播途径
,人乳头瘤病毒（HPV）可以通过马桶座传播。,FALSE,人乳头瘤病毒（HPV）不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防人乳头瘤病毒（HPV）。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染人乳头瘤病毒（HPV）。,FALSE,即使没有明显症状，也可能传播人乳头瘤病毒（HPV）。,传播途径
,事后清洗就能预防人乳头瘤病毒（HPV）。,FALSE,清洁并不能预防人乳头瘤病毒（HPV），关键是做好防护和检测。,预防
,口服避孕药能够预防人乳头瘤病毒（HPV）。,FALSE,避孕措施只能防怀孕，无法阻止人乳头瘤病毒（HPV）等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染人乳头瘤病毒（HPV）。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现人乳头瘤病毒（HPV），即使没有症状。,预防
,只有性伴侣多的人才需要担心人乳头瘤病毒（HPV）。,FALSE,只要有性行为，就可能感染人乳头瘤病毒（HPV），并非只有多性伴的人会得。,预防
,抗生素可以治愈包括人乳头瘤病毒（HPV）在内的所有性病。,FALSE,某些性病（如人乳头瘤病毒（HPV））是病毒感染，抗生素无法治愈。,治疗
,治疗过人乳头瘤病毒（HPV）之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染人乳头瘤病毒（HPV）。,治疗
,用偏方或草药就能治好人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，人乳头瘤病毒（HPV）就彻底痊愈了。,FALSE,症状可能消失，但人乳头瘤病毒（HPV）仍可能潜伏在体内。,治疗
,感染人乳头瘤病毒（HPV）也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有人类免疫缺陷病毒（HIV）。,FALSE,很多感染人类免疫缺陷病毒（HIV）的人完全没有症状。,症状
,人类免疫缺陷病毒（HIV）总会引起疼痛或明显的溃疡。,FALSE,人类免疫缺陷病毒（HIV）有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）即使没有明显症状也可能存在。,症状
,只有女性会出现人类免疫缺陷病毒（HIV）的症状。,FALSE,无论男女都可能感染人类免疫缺陷病毒（HIV），不论是否出现症状。,症状
,人类免疫缺陷病毒（HIV）的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的人类免疫缺陷病毒（HIV）仍可能存在并引发并发症。,症状
,人类免疫缺陷病毒（HIV）不会带来任何长期健康问题。,FALSE,人类免疫缺陷病毒（HIV）若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，人类免疫缺陷病毒（HIV）不会。,FALSE,包括人类免疫缺陷病毒（HIV）在内的许多性病都会影响男女的生育能力。,健康影响
,人类免疫缺陷病毒（HIV）会自己消失，不会造成伤害。,FALSE,未经治疗的人类免疫缺陷病毒（HIV）会持续存在并导致严重健康问题。,健康影响
,人类免疫缺陷病毒（HIV）只会影响私密部位。,FALSE,人类免疫缺陷病毒（HIV）不只影响生殖器，还会波及身体其他部位。,健康影响
,与人类免疫缺陷病毒（HIV）相关的健康问题只会发生在女性身上。,FALSE,人类免疫缺陷病毒（HIV）会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）可通过多种性接触传播。,传播途径
,人类免疫缺陷病毒（HIV）可以通过马桶座传播。,FALSE,人类免疫缺陷病毒（HIV）不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防人类免疫缺陷病毒（HIV）。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染人类免疫缺陷病毒（HIV）。,FALSE,即使没有明显症状，也可能传播人类免疫缺陷病毒（HIV）。,传播途径
,事后清洗就能预防人类免疫缺陷病毒（HIV）。,FALSE,清洁并不能预防人类免疫缺陷病毒（HIV），关键是做好防护和检测。,预防
,口服避孕药能够预防人类免疫缺陷病毒（HIV）。,FALSE,避孕措施只能防怀孕，无法阻止人类免疫缺陷病毒（HIV）等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染人类免疫缺陷病毒（HIV）。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现人类免疫缺陷病毒（HIV），即使没有症状。,预防
,只有性伴侣多的人才需要担心人类免疫缺陷病毒（HIV）。,FALSE,只要有性行为，就可能感染人类免疫缺陷病毒（HIV），并非只有多性伴的人会得。,预防
,抗生素可以治愈包括人类免疫缺陷病毒（HIV）在内的所有性病。,FALSE,某些性病（如人类免疫缺陷病毒（HIV））是病毒感染，抗生素无法治愈。,治疗
,治疗过人类免疫缺陷病毒（HIV）之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染人类免疫缺陷病毒（HIV）。,治疗
,用偏方或草药就能治好人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，人类免疫缺陷病毒（HIV）就彻底痊愈了。,FALSE,症状可能消失，但人类免疫缺陷病毒（HIV）仍可能潜伏在体内。,治疗
,感染人类免疫缺陷病毒（HIV）也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有梅毒。,FALSE,很多感染梅毒的人完全没有症状。,症状
,梅毒总会引起疼痛或明显的溃疡。,FALSE,梅毒有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有梅毒。,FALSE,梅毒即使没有明显症状也可能存在。,症状
,只有女性会出现梅毒的症状。,FALSE,无论男女都可能感染梅毒，不论是否出现症状。,症状
,梅毒的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的梅毒仍可能存在并引发并发症。,症状
,梅毒不会带来任何长期健康问题。,FALSE,梅毒若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，梅毒不会。,FALSE,包括梅毒在内的许多性病都会影响男女的生育能力。,健康影响
,梅毒会自己消失，不会造成伤害。,FALSE,未经治疗的梅毒会持续存在并导致严重健康问题。,健康影响
,梅毒只会影响私密部位。,FALSE,梅毒不只影响生殖器，还会波及身体其他部位。,健康影响
,与梅毒相关的健康问题只会发生在女性身上。,FALSE,梅毒会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染梅毒。,FALSE,梅毒可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染梅毒。,FALSE,梅毒可通过多种性接触传播。,传播途径
,梅毒可以通过马桶座传播。,FALSE,梅毒不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防梅毒。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染梅毒。,FALSE,即使没有明显症状，也可能传播梅毒。,传播途径
,事后清洗就能预防梅毒。,FALSE,清洁并不能预防梅毒，关键是做好防护和检测。,预防
,口服避孕药能够预防梅毒。,FALSE,避孕措施只能防怀孕，无法阻止梅毒等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染梅毒。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现梅毒，即使没有症状。,预防
,只有性伴侣多的人才需要担心梅毒。,FALSE,只要有性行为，就可能感染梅毒，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括梅毒在内的所有性病。,FALSE,某些性病（如梅毒）是病毒感染，抗生素无法治愈。,治疗
,治疗过梅毒之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染梅毒。,治疗
,用偏方或草药就能治好梅毒。,FALSE,梅毒需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，梅毒就彻底痊愈了。,FALSE,症状可能消失，但梅毒仍可能潜伏在体内。,治疗
,感染梅毒也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有软下疳。,FALSE,很多感染软下疳的人完全没有症状。,症状
,软下疳总会引起疼痛或明显的溃疡。,FALSE,软下疳有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有软下疳。,FALSE,软下疳即使没有明显症状也可能存在。,症状
,只有女性会出现软下疳的症状。,FALSE,无论男女都可能感染软下疳，不论是否出现症状。,症状
,软下疳的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的软下疳仍可能存在并引发并发症。,症状
,软下疳不会带来任何长期健康问题。,FALSE,软下疳若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，软下疳不会。,FALSE,包括软下疳在内的许多性病都会影响男女的生育能力。,健康影响
,软下疳会自己消失，不会造成伤害。,FALSE,未经治疗的软下疳会持续存在并导致严重健康问题。,健康影响
,软下疳只会影响私密部位。,FALSE,软下疳不只影响生殖器，还会波及身体其他部位。,健康影响
,与软下疳相关的健康问题只会发生在女性身上。,FALSE,软下疳会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染软下疳。,FALSE,软下疳可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染软下疳。,FALSE,软下疳可通过多种性接触传播。,传播途径
,软下疳可以通过马桶座传播。,FALSE,软下疳不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防软下疳。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染软下疳。,FALSE,即使没有明显症状，也可能传播软下疳。,传播途径
,事后清洗就能预防软下疳。,FALSE,清洁并不能预防软下疳，关键是做好防护和检测。,预防
,口服避孕药能够预防软下疳。,FALSE,避孕措施只能防怀孕，无法阻止软下疳等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染软下疳。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现软下疳，即使没有症状。,预防
,只有性伴侣多的人才需要担心软下疳。,FALSE,只要有性行为，就可能感染软下疳，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括软下疳在内的所有性病。,FALSE,某些性病（如软下疳）是病毒感染，抗生素无法治愈。,治疗
,治疗过软下疳之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染软下疳。,治疗
